,,,,,,,,,,,,,,,,,,
Index,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
182,CA-2017-166191,5/12/2017,Second Class,DK-13150,David Kendrick,Sales,United States,Decatur,Illinois,62521,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.744,7,0.2,76.6395
185,CA-2017-158274,19/11/2017,Second Class,RM-19675,Robert Marley,Facebook,United States,Monroe,Louisiana,71203,South,Special Projects Muesil,Gluten Free,TEC-AC-10002345,29,2,0,7.25
187,CA-2017-123260,26/8/2017,Standard Class,FM-14290,Frank Merwin,Facebook,United States,Los Angeles,California,90032,West,Special Projects Muesil,Gluten Free,TEC-AC-10002323,176.8,8,0,22.984
212,CA-2018-101007,9/2/2018,Second Class,MS-17980,Michael Stewart,Sales,United States,Dallas,Texas,75220,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,20.8,2,0.2,6.5
217,CA-2018-146262,2/1/2018,Standard Class,VW-21775,Victoria Wilson,Sales,United States,Medina,Ohio,44256,East,Special Projects Muesil,Gluten Free,TEC-AC-10000109,89.584,2,0.2,4.4792
236,US-2020-100930,7/4/2020,Standard Class,CS-12400,Christopher Schild,Facebook,United States,Tampa,Florida,33614,South,Special Projects Muesil,Gluten Free,TEC-AC-10003832,617.976,3,0.2,-7.7247
252,CA-2019-145625,11/9/2019,Standard Class,KC-16540,Kelly Collister,Email,United States,San Diego,California,92037,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,3347.37,13,0,636.0003
259,CA-2020-163139,1/12/2020,Second Class,CC-12670,Craig Carreira,Email,United States,New York City,New York,10009,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,20.37,3,0,6.9258
266,CA-2018-155040,10/11/2018,Standard Class,AH-10210,Alan Hwang,Email,United States,Brentwood,California,94513,West,Special Projects Muesil,Gluten Free,TEC-AC-10004469,79.9,2,0,35.156
272,CA-2018-155334,30/7/2018,First Class,HA-14920,Helen Andreada,Email,United States,San Francisco,California,94109,West,Special Projects Muesil,Gluten Free,TEC-AC-10003628,209.93,7,0,92.3692
285,CA-2018-130883,26/9/2018,Standard Class,TB-21520,Tracy Blumstein,Email,United States,Portland,Oregon,97206,West,Special Projects Muesil,Gluten Free,TEC-AC-10001956,239.8,5,0.2,47.96
292,CA-2019-110772,20/11/2019,Second Class,NZ-18565,Nick Zandusky,Facebook,United States,Columbus,Ohio,43229,East,Special Projects Muesil,Gluten Free,TEC-AC-10002001,255.984,2,0.2,54.3966
321,CA-2017-164973,4/11/2017,Standard Class,NM-18445,Nathan Mautz,Facebook,United States,New York City,New York,10024,East,Special Projects Muesil,Gluten Free,TEC-AC-10000892,360,4,0,129.6
325,CA-2019-162138,23/4/2019,Standard Class,GK-14620,Grace Kelly,Sales,United States,Hesperia,California,92345,West,Special Projects Muesil,Gluten Free,TEC-AC-10001908,99.99,1,0,34.9965
350,CA-2019-129714,1/9/2019,First Class,AB-10060,Adam Bellavance,Facebook,United States,New York City,New York,10009,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,6.79,1,0,2.3086
374,US-2017-119137,23/7/2017,Standard Class,AG-10900,Arthur Gainer,Email,United States,Tucson,Arizona,85705,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,1023.936,8,0.2,179.1888
376,US-2017-119137,23/7/2017,Standard Class,AG-10900,Arthur Gainer,Email,United States,Tucson,Arizona,85705,West,Special Projects Muesil,Gluten Free,TEC-AC-10002076,479.04,10,0.2,-29.94
384,CA-2018-125395,26/6/2018,Second Class,LA-16780,Laura Armstrong,Sales,United States,Taylor,Michigan,48180,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004708,41.9,2,0,8.799
386,US-2018-168935,27/11/2018,Standard Class,DO-13435,Denny Ordway,Email,United States,Pembroke Pines,Florida,33024,South,Special Projects Muesil,Gluten Free,TEC-AC-10002335,83.976,3,0.2,-1.0497
391,CA-2020-101798,11/12/2020,Standard Class,MV-18190,Mike Vittorini,Email,United States,New York City,New York,10009,East,Special Projects Muesil,Gluten Free,TEC-AC-10001998,39.98,2,0,13.5932
402,CA-2019-108987,8/9/2019,Second Class,AG-10675,Anna Gayman,Email,United States,Houston,Texas,77036,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000158,57.584,2,0.2,0.7198
406,CA-2020-117457,8/12/2020,Standard Class,KH-16510,Keith Herrera,Email,United States,San Francisco,California,94110,West,Special Projects Muesil,Gluten Free,TEC-AC-10000158,179.95,5,0,37.7895
422,CA-2017-142048,22/6/2017,First Class,JE-15745,Joel Eaton,Email,United States,Louisville,Colorado,80027,West,Special Projects Muesil,Gluten Free,TEC-AC-10004114,196.752,6,0.2,56.5662
431,US-2019-123750,15/4/2019,Standard Class,RB-19795,Ross Baird,Facebook,United States,Gastonia,North Carolina,28052,South,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.744,7,0.2,76.6395
432,US-2019-123750,15/4/2019,Standard Class,RB-19795,Ross Baird,Facebook,United States,Gastonia,North Carolina,28052,South,Special Projects Muesil,Gluten Free,TEC-AC-10004659,291.96,5,0.2,54.7425
436,US-2017-150574,19/12/2017,Standard Class,MK-18160,Mike Kennedy,Email,United States,Jacksonville,Florida,32216,South,Special Projects Muesil,Gluten Free,TEC-AC-10002600,247.8,5,0.2,-18.585
456,CA-2019-100153,13/12/2019,Standard Class,KH-16630,Ken Heidel,Sales,United States,Norman,Oklahoma,73071,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,63.88,4,0,24.9132
461,CA-2018-109638,15/12/2018,Standard Class,JH-15985,Joseph Holt,Email,United States,Seattle,Washington,98115,West,Special Projects Muesil,Gluten Free,TEC-AC-10004571,899.91,9,0,377.9622
482,CA-2017-134677,6/10/2017,Standard Class,XP-21865,Xylona Preis,Email,United States,San Diego,California,92024,West,Special Projects Muesil,Gluten Free,TEC-AC-10001445,9.09,3,0,1.9089
484,CA-2017-127691,22/7/2017,Standard Class,EM-14065,Erin Mull,Email,United States,New York City,New York,10024,East,Special Projects Muesil,Gluten Free,TEC-AC-10002567,159.98,2,0,57.5928
490,CA-2017-133753,9/6/2017,Second Class,CW-11905,Carl Weiss,Facebook,United States,Huntsville,Texas,77340,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000303,63.984,2,0.2,10.3974
494,CA-2019-169166,9/5/2019,Standard Class,SS-20590,Sonia Sunley,Email,United States,Seattle,Washington,98115,West,Special Projects Muesil,Gluten Free,TEC-AC-10000991,93.98,2,0,13.1572
512,CA-2020-135307,26/11/2020,First Class,LS-17245,Lynn Smith,Email,United States,Gladstone,Missouri,64118,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002399,38.04,2,0,12.1728
520,CA-2018-157812,22/3/2018,Standard Class,DB-13210,Dean Braden,Email,United States,Houston,Texas,77041,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,18.392,1,0.2,5.2877
525,US-2019-139486,21/5/2019,First Class,LH-17155,Logan Haushalter,Email,United States,Los Angeles,California,90032,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,66.26,2,0,27.1666
541,CA-2017-140795,1/2/2017,First Class,BD-11500,Bradley Drucker,Email,United States,Green Bay,Wisconsin,54302,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001432,468.9,6,0,206.316
544,CA-2017-103849,11/5/2017,Standard Class,PG-18895,Paul Gonzalez,Email,United States,Fort Worth,Texas,76106,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.264
594,CA-2017-135405,9/1/2017,Standard Class,MS-17830,Melanie Seite,Email,United States,Laredo,Texas,78041,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,31.2,3,0.2,9.75
632,US-2019-135720,11/12/2019,Second Class,FM-14380,Fred McMath,Email,United States,Aurora,Colorado,80013,West,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.8,5,0.2,29.95
634,CA-2020-144694,24/9/2020,Second Class,BD-11605,Brian Dahlen,Email,United States,Miami,Florida,33180,South,Special Projects Muesil,Gluten Free,TEC-AC-10002857,17.88,3,0.2,2.4585
644,CA-2020-106103,10/6/2020,Standard Class,SC-20305,Sean Christensen,Email,United States,Rochester Hills,Michigan,48307,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52,4,0,54.3332
651,CA-2019-160745,11/12/2019,Second Class,AR-10825,Anthony Rawles,Sales,United States,Vancouver,Washington,98661,West,Special Projects Muesil,Gluten Free,TEC-AC-10001142,316,4,0,31.6
654,CA-2020-140844,19/6/2020,Standard Class,AR-10405,Allen Rosenblatt,Sales,United States,New York City,New York,10035,East,Special Projects Muesil,Gluten Free,TEC-AC-10001101,103.12,8,0,10.312
676,CA-2020-130351,5/12/2020,First Class,RB-19570,Rob Beeghly,Email,United States,Columbus,Indiana,47201,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,99.39,3,0,40.7499
678,US-2020-119438,18/3/2020,Standard Class,CD-11980,Carol Darley,Email,United States,Tyler,Texas,75701,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003614,27.816,3,0.2,4.5201
686,CA-2017-157784,5/7/2017,First Class,MC-17845,Michael Chen,Email,United States,Jackson,Mississippi,39212,South,Special Projects Muesil,Gluten Free,TEC-AC-10003911,479.97,3,0,163.1898
693,CA-2018-131534,28/3/2018,Standard Class,AB-10165,Alan Barnes,Email,United States,Los Angeles,California,90036,West,Special Projects Muesil,Gluten Free,TEC-AC-10002253,166.24,1,0,24.936
707,CA-2017-138527,12/9/2017,Standard Class,BN-11470,Brad Norvell,Sales,United States,Cary,North Carolina,27511,South,Special Projects Muesil,Gluten Free,TEC-AC-10002399,15.216,1,0.2,2.2824
708,CA-2017-112158,2/12/2017,First Class,DP-13165,David Philippe,Email,United States,New York City,New York,10035,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,119.96,4,0,52.7824
715,US-2020-100048,19/5/2020,Standard Class,RS-19765,Roland Schwarz,Sales,United States,Mount Vernon,New York,10550,East,Special Projects Muesil,Gluten Free,TEC-AC-10001606,299.97,3,0,113.9886
734,CA-2020-131954,21/1/2020,Standard Class,DS-13030,Darrin Sayre,Facebook,United States,Seattle,Washington,98115,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,179.97,3,0,86.3856
739,CA-2017-132500,8/9/2017,Standard Class,GZ-14470,Gary Zandusky,Email,United States,San Francisco,California,94110,West,Special Projects Muesil,Gluten Free,TEC-AC-10001383,49.98,2,0,8.4966
758,CA-2017-106803,29/12/2017,Standard Class,DC-13285,Debra Catini,Email,United States,Cottage Grove,Minnesota,55016,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.8,4,0,47.92
766,CA-2017-162775,13/1/2017,Second Class,CS-12250,Chris Selesnick,Sales,United States,Bossier City,Louisiana,71111,South,Special Projects Muesil,Gluten Free,TEC-AC-10003174,646.74,6,0,258.696
783,US-2018-157014,3/10/2018,Second Class,BM-11785,Bryan Mills,Email,United States,Columbus,Ohio,43229,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,24,2,0.2,-2.7
785,US-2018-157014,3/10/2018,Second Class,BM-11785,Bryan Mills,Email,United States,Columbus,Ohio,43229,East,Special Projects Muesil,Gluten Free,TEC-AC-10000057,47.984,2,0.2,0.5998
809,CA-2018-140921,3/2/2018,First Class,AA-10375,Allen Armold,Email,United States,Omaha,Nebraska,68104,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004901,149.97,3,0,50.9898
813,CA-2017-151995,13/10/2017,First Class,ZC-21910,Zuschuss Carroll,Email,United States,Edmonds,Washington,98026,West,Special Projects Muesil,Gluten Free,TEC-AC-10001101,25.78,2,0,2.578
815,CA-2020-143686,14/5/2020,First Class,PJ-19015,Pauline Johnson,Email,United States,Santa Ana,California,92704,West,Special Projects Muesil,Gluten Free,TEC-AC-10001838,1399.93,7,0,601.9699
823,CA-2020-101434,20/6/2020,Standard Class,TR-21325,Toby Ritter,Email,United States,Belleville,New Jersey,7109,East,Special Projects Muesil,Gluten Free,TEC-AC-10002402,239.97,3,0,71.991
825,US-2017-102071,9/5/2017,Standard Class,PG-18820,Patrick Gardner,Email,United States,San Francisco,California,94110,West,Special Projects Muesil,Gluten Free,TEC-AC-10003441,67.8,4,0,4.068
826,US-2017-102071,9/5/2017,Standard Class,PG-18820,Patrick Gardner,Email,United States,San Francisco,California,94110,West,Special Projects Muesil,Gluten Free,TEC-AC-10000109,167.97,3,0,40.3128
850,CA-2017-107755,7/2/2017,Standard Class,CK-12760,Cyma Kinney,Sales,United States,Linden,New Jersey,7036,East,Special Projects Muesil,Gluten Free,TEC-AC-10000710,115.36,7,0,49.6048
863,CA-2019-134474,5/1/2019,Second Class,AJ-10795,Anthony Johnson,Sales,United States,Jacksonville,Florida,32216,South,Special Projects Muesil,Gluten Free,TEC-AC-10001714,191.472,6,0.2,40.6878
877,CA-2019-116736,17/1/2019,Standard Class,CC-12430,Chuck Clark,Facebook,United States,Concord,New Hampshire,3301,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,29.99,1,0,13.1956
878,CA-2019-116736,17/1/2019,Standard Class,CC-12430,Chuck Clark,Facebook,United States,Concord,New Hampshire,3301,East,Special Projects Muesil,Gluten Free,TEC-AC-10002049,371.97,3,0,66.9546
890,CA-2020-132934,20/6/2020,Standard Class,JE-15475,Jeremy Ellison,Email,United States,New Rochelle,New York,10801,East,Special Projects Muesil,Gluten Free,TEC-AC-10000927,149.95,5,0,14.995
911,CA-2020-137596,2/9/2020,Standard Class,BE-11335,Bill Eplett,Facebook,United States,Jackson,Michigan,49201,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004666,1928.78,7,0,829.3754
915,CA-2020-102519,27/11/2020,First Class,BM-11650,Brian Moss,Sales,United States,Milwaukee,Wisconsin,53209,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,143.73,9,0,56.0547
922,CA-2018-111164,11/4/2018,Standard Class,SE-20110,Sanjit Engle,Email,United States,New York City,New York,10009,East,Special Projects Muesil,Gluten Free,TEC-AC-10002473,85.14,3,0,34.9074
927,CA-2017-132962,13/9/2017,First Class,JM-15535,Jessica Myrick,Email,United States,Philadelphia,Pennsylvania,19143,East,Special Projects Muesil,Gluten Free,TEC-AC-10004353,252,5,0.2,53.55
938,US-2020-111745,5/11/2020,First Class,RA-19885,Ruben Ausman,Sales,United States,Farmington,New Mexico,87401,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,159.99,1,0,54.3966
1002,CA-2018-124891,31/7/2018,First Class,RH-19495,Rick Hansen,Email,United States,New York City,New York,10024,East,Special Projects Muesil,Gluten Free,TEC-AC-10003033,2309.65,7,0,762.1845
1015,US-2018-126214,21/12/2018,Second Class,JS-15880,John Stevenson,Email,United States,Seattle,Washington,98103,West,Special Projects Muesil,Gluten Free,TEC-AC-10003198,99.6,1,0,36.852
1042,CA-2019-102981,6/9/2019,Second Class,MO-17500,Mary O'Rourke,Email,United States,New York City,New York,10035,East,Special Projects Muesil,Gluten Free,TEC-AC-10004761,31.86,2,0,11.151
1050,CA-2017-139192,27/5/2017,Second Class,LC-16885,Lena Creighton,Email,United States,San Francisco,California,94109,West,Special Projects Muesil,Gluten Free,TEC-AC-10001606,99.99,1,0,37.9962
1076,CA-2019-134348,12/11/2019,Standard Class,MS-17710,Maurice Satty,Email,United States,Mesa,Arizona,85204,West,Special Projects Muesil,Gluten Free,TEC-AC-10003447,31.984,2,0.2,1.999
1101,CA-2019-107216,14/6/2019,First Class,PV-18985,Paul Van Hugh,Facebook,United States,San Francisco,California,94122,West,Special Projects Muesil,Gluten Free,TEC-AC-10001013,29.29,1,0,9.6657
1116,CA-2020-140585,18/12/2020,Second Class,RA-19915,Russell Applegate,Email,United States,Encinitas,California,92024,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,119.98,2,0,57.5904
1119,CA-2018-142755,4/9/2018,Standard Class,CS-12355,Christine Sundaresam,Email,United States,Roswell,Georgia,30076,South,Special Projects Muesil,Gluten Free,TEC-AC-10002049,619.95,5,0,111.591
1167,CA-2018-125416,2/11/2018,First Class,KC-16540,Kelly Collister,Email,United States,Seattle,Washington,98115,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,447.93,9,0,49.2723
1180,CA-2019-168081,24/4/2019,Second Class,CA-12055,Cathy Armstrong,Facebook,United States,Houston,Texas,77070,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674
1198,CA-2019-130946,8/4/2019,Standard Class,ZC-21910,Zuschuss Carroll,Email,United States,Houston,Texas,77041,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001990,431.928,9,0.2,64.7892
1217,US-2020-118087,9/9/2020,Standard Class,SP-20620,Stefania Perrino,Sales,United States,Philadelphia,Pennsylvania,19134,East,Special Projects Muesil,Gluten Free,TEC-AC-10004469,95.88,3,0.2,28.764
1219,US-2020-118087,9/9/2020,Standard Class,SP-20620,Stefania Perrino,Sales,United States,Philadelphia,Pennsylvania,19134,East,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674
1224,CA-2019-126004,4/12/2019,First Class,BM-11140,Becky Martin,Email,United States,New York City,New York,10024,East,Special Projects Muesil,Gluten Free,TEC-AC-10001432,78.15,1,0,34.386
1260,US-2019-168620,24/12/2019,Second Class,RB-19795,Ross Baird,Facebook,United States,Charlotte,North Carolina,28205,South,Special Projects Muesil,Gluten Free,TEC-AC-10004469,255.68,8,0.2,76.704
1277,CA-2019-119186,26/5/2019,First Class,MS-17710,Maurice Satty,Email,United States,Fort Worth,Texas,76106,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000580,63.992,1,0.2,-7.1991
1279,CA-2017-163293,8/9/2017,First Class,KC-16255,Karen Carlisle,Sales,United States,Macon,Georgia,31204,South,Special Projects Muesil,Gluten Free,TEC-AC-10004209,32.97,3,0,12.8583
1280,CA-2017-163293,8/9/2017,First Class,KC-16255,Karen Carlisle,Sales,United States,Macon,Georgia,31204,South,Special Projects Muesil,Gluten Free,TEC-AC-10000023,83.88,4,0,30.1968
1318,CA-2020-157651,10/12/2020,Standard Class,HA-14920,Helen Andreada,Email,United States,Philadelphia,Pennsylvania,19120,East,Special Projects Muesil,Gluten Free,TEC-AC-10003116,14.2,1,0.2,3.3725
1366,US-2020-155425,10/11/2020,First Class,AB-10600,Ann Blume,Sales,United States,Tucson,Arizona,85705,West,Special Projects Muesil,Gluten Free,TEC-AC-10001314,239.952,6,0.2,-35.9928
1372,CA-2020-136672,7/3/2020,Standard Class,MG-17890,Michael Granlund,Facebook,United States,Clinton,Maryland,20735,East,Special Projects Muesil,Gluten Free,TEC-AC-10004510,49.08,3,0,4.908
1399,CA-2019-124485,24/11/2019,First Class,NC-18340,Nat Carroll,Email,United States,New York City,New York,10035,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,88.4,4,0,11.492
1407,US-2017-118486,6/4/2017,First Class,SD-20485,Shirley Daniels,Facebook,United States,Philadelphia,Pennsylvania,19143,East,Special Projects Muesil,Gluten Free,TEC-AC-10004659,116.784,2,0.2,21.897
1415,CA-2020-115994,28/1/2020,Second Class,BT-11305,Beth Thompson,Facebook,United States,Costa Mesa,California,92627,West,Special Projects Muesil,Gluten Free,TEC-AC-10000580,239.97,3,0,26.3967
1418,CA-2018-126697,21/9/2018,First Class,SV-20815,Stuart Van,Sales,United States,Houston,Texas,77041,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004353,151.2,3,0.2,32.13
1438,CA-2018-139731,15/10/2018,First Class,JE-15745,Joel Eaton,Email,United States,Amarillo,Texas,79109,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004975,263.88,3,0.2,42.8805
1463,CA-2019-152289,26/8/2019,First Class,LC-16930,Linda Cazamias,Sales,United States,Pasadena,Texas,77506,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004571,159.984,2,0.2,43.9956
1467,CA-2017-151708,8/8/2017,Standard Class,MB-17305,Maria Bertelson,Email,United States,Glendale,Arizona,85301,West,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973
1468,CA-2018-100769,16/5/2018,First Class,TH-21550,Tracy Hopkins,Facebook,United States,Jacksonville,Florida,32216,South,Special Projects Muesil,Gluten Free,TEC-AC-10002402,255.968,4,0.2,31.996
1485,US-2019-108098,14/10/2019,Standard Class,CP-12340,Christine Phan,Sales,United States,Seattle,Washington,98115,West,Special Projects Muesil,Gluten Free,TEC-AC-10000865,177,3,0,30.09
1488,CA-2018-140410,3/11/2018,Standard Class,CM-12655,Corinna Mitchell,Facebook,United States,Los Angeles,California,90008,West,Special Projects Muesil,Gluten Free,TEC-AC-10001109,89.97,3,0,37.7874
1556,CA-2020-120761,4/9/2020,Standard Class,AB-10150,Aimee Bixby,Email,United States,Long Beach,New York,11561,East,Special Projects Muesil,Gluten Free,TEC-AC-10000171,91.96,4,0,39.5428
1567,CA-2018-129112,29/11/2018,First Class,AW-10840,Anthony Witt,Email,United States,Allen,Texas,75002,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003038,21.48,3,0.2,-0.2685
1573,US-2017-157385,23/11/2017,First Class,SC-20095,Sanjit Chand,Email,United States,Los Angeles,California,90004,West,Special Projects Muesil,Gluten Free,TEC-AC-10003280,29.99,1,0,6.2979
1589,CA-2018-131338,9/8/2018,First Class,NP-18325,Naresj Patel,Email,United States,New York City,New York,10024,East,Special Projects Muesil,Gluten Free,TEC-AC-10002600,247.8,4,0,34.692
1615,US-2019-113509,15/3/2019,Standard Class,PL-18925,Paul Lucas,Facebook,United States,Philadelphia,Pennsylvania,19143,East,Special Projects Muesil,Gluten Free,TEC-AC-10004855,83.976,3,0.2,-13.6461
1624,CA-2020-108560,8/7/2020,Standard Class,JC-15385,Jenna Caffey,Email,United States,Kent,Washington,98031,West,Special Projects Muesil,Gluten Free,TEC-AC-10003063,50,2,0,10.5
1626,CA-2018-157084,19/12/2018,Standard Class,JG-15160,James Galang,Email,United States,Los Angeles,California,90049,West,Special Projects Muesil,Gluten Free,TEC-AC-10002049,1265.85,3,0,556.974
1635,CA-2019-106530,8/5/2019,First Class,CL-12565,Clay Ludtke,Email,United States,Cleveland,Ohio,44105,East,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.264
1647,CA-2018-105221,1/11/2018,First Class,VM-21685,Valerie Mitchum,Facebook,United States,Philadelphia,Pennsylvania,19140,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,35.36,2,0.2,-3.094
1654,US-2020-132444,18/11/2020,First Class,CD-12280,Christina DeMoss,Email,United States,Seattle,Washington,98105,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52,4,0,54.3332
1665,CA-2019-128531,24/11/2019,Second Class,NS-18505,Neola Schneider,Email,United States,Dallas,Texas,75217,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002049,297.576,3,0.2,-7.4394
1667,CA-2019-128531,24/11/2019,Second Class,NS-18505,Neola Schneider,Email,United States,Dallas,Texas,75217,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003023,94.992,2,0.2,-2.3748
1672,CA-2019-107615,22/3/2019,First Class,RB-19645,Robert Barroso,Sales,United States,North Las Vegas,Nevada,89031,West,Special Projects Muesil,Gluten Free,TEC-AC-10001013,58.58,2,0,19.3314
1694,US-2019-158708,26/6/2019,Second Class,AB-10255,Alejandro Ballentine,Facebook,United States,Plano,Texas,75023,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003133,13.616,2,0.2,3.5742
1695,CA-2018-156335,25/9/2018,Second Class,PO-19195,Phillina Ober,Facebook,United States,Bayonne,New Jersey,7002,East,Special Projects Muesil,Gluten Free,TEC-AC-10002006,63.96,4,0,19.8276
1723,US-2018-123218,20/12/2018,Standard Class,KD-16345,Katherine Ducich,Email,United States,Chicago,Illinois,60623,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000736,255.968,4,0.2,51.1936
1729,CA-2019-106894,7/2/2019,First Class,CA-12265,Christina Anderson,Email,United States,Springfield,Virginia,22153,South,Special Projects Muesil,Gluten Free,TEC-AC-10003063,100,4,0,21
1739,CA-2018-130204,3/9/2018,Standard Class,DB-13120,David Bremer,Sales,United States,San Francisco,California,94122,West,Special Projects Muesil,Gluten Free,TEC-AC-10003038,17.9,2,0,3.401
1740,CA-2018-130204,3/9/2018,Standard Class,DB-13120,David Bremer,Sales,United States,San Francisco,California,94122,West,Special Projects Muesil,Gluten Free,TEC-AC-10003590,129.45,5,0,46.602
1745,CA-2020-152807,30/10/2020,Standard Class,MC-18100,Mick Crebagga,Email,United States,Philadelphia,Pennsylvania,19140,East,Special Projects Muesil,Gluten Free,TEC-AC-10001142,442.4,7,0.2,-55.3
1759,CA-2017-139017,11/5/2017,Standard Class,RM-19375,Raymond Messe,Email,United States,Houston,Texas,77095,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001013,46.864,2,0.2,7.6154
1773,CA-2019-129686,27/11/2019,Second Class,GG-14650,Greg Guthrie,Sales,United States,Chicago,Illinois,60623,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,62.4,6,0.2,19.5
